frame_id,frame_zipfile_path,roi_feature_name,roi_id,roi_label,roi_label_threshold_based,video_id,video_roi_embedding_path,xmax,xmin,ymax,ymin
0.jpg,gs://b-ao-barc-vmd-hidden/77a5a611-d188-4c32-983c-d1ed0f2526c4/vmd/asset/master/video/00:00:00.000_00:10:03.904/b9b509a3-7bb1-413e-bc72-8ac70990a9c9.zip,,,{None: None},None,20200203_2_213002.047_220001.556.mp4,,,,,
1.jpg,gs://b-ao-barc-vmd-hidden/77a5a611-d188-4c32-983c-d1ed0f2526c4/vmd/asset/master/video/00:00:00.000_00:10:03.904/b9b509a3-7bb1-413e-bc72-8ac70990a9c9.zip,emotion,2781dd7f-937d-402a-805c-1dd26b47b3f3_0409011206760379,"{'sad': 1.0, 'others': 0.0, 'angry': 0.0, 'object': 0.0, 'happy': 0.0, 'blur': 0.0}",sad,20200203_2_213002.047_220001.556.mp4,,676,409,379,112
2.jpg,gs://b-ao-barc-vmd-hidden/77a5a611-d188-4c32-983c-d1ed0f2526c4/vmd/asset/master/video/00:00:00.000_00:10:03.904/b9b509a3-7bb1-413e-bc72-8ac70990a9c9.zip,emotion,241c4f87-80cb-4fba-863f-64b966339976_0588016708110390,"{'sad': 0.92396, 'others': 0.04769, 'angry': 0.01158, 'object': 0.00687, 'blur': 0.00512, 'happy': 0.00479}",sad,20200203_2_213002.047_220001.556.mp4,,811,588,390,167
3.jpg,gs://b-ao-barc-vmd-hidden/77a5a611-d188-4c32-983c-d1ed0f2526c4/vmd/asset/master/video/00:00:00.000_00:10:03.904/b9b509a3-7bb1-413e-bc72-8ac70990a9c9.zip,,,{None: None},None,20200203_2_213002.047_220001.556.mp4,,,,,
4.jpg,gs://b-ao-barc-vmd-hidden/77a5a611-d188-4c32-983c-d1ed0f2526c4/vmd/asset/master/video/00:00:00.000_00:10:03.904/b9b509a3-7bb1-413e-bc72-8ac70990a9c9.zip,emotion,6fbfe88e-eb28-424a-b4d4-1082b69e5514_0409008206760350,"{'sad': 1.0, 'others': 0.0, 'angry': 0.0, 'object': 0.0, 'happy': 0.0, 'blur': 0.0}",sad,20200203_2_213002.047_220001.556.mp4,,676,409,350,82
5.jpg,gs://b-ao-barc-vmd-hidden/77a5a611-d188-4c32-983c-d1ed0f2526c4/vmd/asset/master/video/00:00:00.000_00:10:03.904/b9b509a3-7bb1-413e-bc72-8ac70990a9c9.zip,emotion,3084d1d7-c9e1-495e-8204-7a20021dba95_0438008207060350,"{'sad': 1.0, 'others': 0.0, 'angry': 0.0, 'object': 0.0, 'happy': 0.0, 'blur': 0.0}",sad,20200203_2_213002.047_220001.556.mp4,,706,438,350,82
6.jpg,gs://b-ao-barc-vmd-hidden/77a5a611-d188-4c32-983c-d1ed0f2526c4/vmd/asset/master/video/00:00:00.000_00:10:03.904/b9b509a3-7bb1-413e-bc72-8ac70990a9c9.zip,emotion,8ce6359e-a1b1-495d-b24d-cf81f815e997_0646011209140379,"{'sad': 1.0, 'others': 0.0, 'angry': 0.0, 'object': 0.0, 'happy': 0.0, 'blur': 0.0}",sad,20200203_2_213002.047_220001.556.mp4,,914,646,379,112
7.jpg,gs://b-ao-barc-vmd-hidden/77a5a611-d188-4c32-983c-d1ed0f2526c4/vmd/asset/master/video/00:00:00.000_00:10:03.904/b9b509a3-7bb1-413e-bc72-8ac70990a9c9.zip,,,{None: None},None,20200203_2_213002.047_220001.556.mp4,,,,,
8.jpg,gs://b-ao-barc-vmd-hidden/77a5a611-d188-4c32-983c-d1ed0f2526c4/vmd/asset/master/video/00:00:00.000_00:10:03.904/b9b509a3-7bb1-413e-bc72-8ac70990a9c9.zip,emotion,ea56480f-fb33-478c-910f-2bd497a74275_0438011207060379,"{'sad': 0.99951, 'object': 0.0002, 'others': 0.00011, 'angry': 8e-05, 'happy': 5e-05, 'blur': 5e-05}",sad,20200203_2_213002.047_220001.556.mp4,,706,438,379,112
9.jpg,gs://b-ao-barc-vmd-hidden/77a5a611-d188-4c32-983c-d1ed0f2526c4/vmd/asset/master/video/00:00:00.000_00:10:03.904/b9b509a3-7bb1-413e-bc72-8ac70990a9c9.zip,,,{None: None},None,20200203_2_213002.047_220001.556.mp4,,,,,
